player,format,matches,innings_count,total_runs,total_balls,total_fours,total_sixes,dismissals,avg_sr,avg_boundary,avg_dot_pct,highest_score,fifties,hundreds,ducks,batting_avg,consistency,balls_bowled,runs_given,wickets,matches_bowled,dot_balls,overs_bowled,economy,bowling_avg,strike_rate_bowl,dot_pct_bowl,role,formats_played,bat_impact,bowl_impact,impact_score,cluster,pca_x,pca_y
AM Tribe,T20I,19.0,19.0,433.0,355.0,36.0,15.0,17.0,102.31105263157896,10.845263157894736,44.3321052631579,73.0,3.0,0.0,1.0,25.47,47.37,,,,,,,,,,,Batter,T20I,31.901385764430316,0.0,19.14,,,
AN Ahmed,IPL,6.0,6.0,36.0,26.0,4.0,1.0,1.0,190.9333333333333,35.89666666666667,24.266666666666666,18.0,0.0,0.0,0.0,36.0,0.0,344.0,515.0,12.0,17.0,131.0,57.3,8.99,42.92,28.67,38.08,Allrounder,IPL,44.16458667938803,40.81688387670708,42.83,3.0,5.913192336761443,0.7964883652736708
AN Aminou,T20I,8.0,8.0,59.0,53.0,1.0,4.0,8.0,92.7775,8.81625,57.6325,22.0,0.0,0.0,2.0,7.38,12.5,,,,,,,,,,,Batter,T20I,17.192797871110926,0.0,10.32,,,
AN Cook,ODI,91.0,91.0,3204.0,4147.0,363.0,10.0,85.0,68.60417582417583,8.771868131868132,64.72472527472527,137.0,24.0,5.0,6.0,37.69,62.64,,,,,,,,,,,Batter,ODI,36.46452597441544,0.0,21.88,,,
AN Hyobeom,T20I,,,,,,,,,,,,,,,,,66.0,87.0,4.0,6.0,26.0,11.0,7.91,21.75,16.5,39.39,Bowler,T20I,0.0,44.54648615218093,17.82,,,
AN Kervezee,ODI,9.0,9.0,110.0,201.0,13.0,0.0,9.0,53.02444444444445,6.372222222222222,71.88333333333334,18.0,0.0,0.0,1.0,12.22,0.0,,,,,,,,,,,Batter,ODI+T20I,11.498371213000986,0.0,6.9,,,
AN Kervezee,T20I,6.0,6.0,148.0,148.0,10.0,1.0,6.0,80.085,5.1883333333333335,49.32666666666666,56.0,1.0,0.0,0.0,24.67,66.67,,,,,,,,,,,Batter,ODI+T20I,30.94076587579801,0.0,18.56,,,
AN Lascu,T20I,9.0,9.0,263.0,185.0,37.0,10.0,7.0,115.57444444444444,19.415555555555557,51.64333333333334,72.0,3.0,0.0,0.0,37.57,44.44,126.0,196.0,7.0,7.0,51.0,21.0,9.33,28.0,18.0,40.48,Allrounder,T20I,39.94050630838898,41.57866761605278,40.6,3.0,3.092891340833202,-0.41331611889476033
AN Petersen,ODI,18.0,18.0,498.0,601.0,53.0,3.0,17.0,78.84444444444445,8.736666666666666,54.88055555555556,80.0,4.0,0.0,0.0,29.29,55.56,,,,,,,,,,,Batter,ODI,31.76527349129745,0.0,19.06,,,
AN Toube,T20I,15.0,15.0,55.0,93.0,4.0,2.0,15.0,42.29666666666667,3.2933333333333334,72.85933333333334,19.0,0.0,0.0,5.0,3.67,0.0,114.0,145.0,5.0,6.0,50.0,19.0,7.63,29.0,22.8,43.86,Allrounder,T20I,6.49796175365193,46.077398797948106,22.33,0.0,-2.4570275061282123,1.3523560760899465
AO Suji,ODI,6.0,6.0,42.0,92.0,4.0,0.0,5.0,43.85333333333333,2.431666666666666,64.08166666666666,15.0,0.0,0.0,0.0,8.4,0.0,229.0,249.0,5.0,9.0,114.0,38.2,6.52,49.8,45.8,49.78,Allrounder,ODI,7.8002505868139735,48.6826749593252,24.15,0.0,-2.4026130497261304,0.5302488592194032
AP Devcich,ODI,11.0,11.0,195.0,253.0,25.0,0.0,11.0,62.55090909090909,6.069999999999999,63.08909090909091,58.0,1.0,0.0,2.0,17.73,36.36,324.0,295.0,4.0,11.0,149.0,54.0,5.46,73.75,81.0,45.99,Allrounder,ODI+T20I,21.377727369226196,47.75657470249702,31.93,2.0,-0.8545224460115319,-0.9665960354163553
AP Devcich,T20I,,,,,,,,,,,,,,,,,72.0,85.0,2.0,4.0,20.0,12.0,7.08,42.5,36.0,27.78,Bowler,ODI+T20I,0.0,40.80979378596365,16.32,,,
AP Dole,IPL,,,,,,,,,,,,,,,,,66.0,114.0,5.0,3.0,22.0,11.0,10.36,22.8,13.2,33.33,Bowler,IPL,0.0,37.30970345476948,14.92,,,
AP Rajeevan,T20I,44.0,44.0,913.0,813.0,83.0,17.0,36.0,97.94795454545456,10.241363636363635,45.64477272727272,70.0,5.0,0.0,2.0,25.36,45.45,,,,,,,,,,,Batter,T20I,30.97943957601988,0.0,18.59,,,
AP Tare,IPL,27.0,27.0,339.0,273.0,40.0,11.0,24.0,118.8374074074074,18.034814814814816,54.42851851851851,59.0,1.0,0.0,5.0,14.12,22.22,,,,,,,,,,,Batter,IPL,27.597501112136694,0.0,16.56,,,
AP Yadav,T20I,41.0,41.0,1024.0,966.0,105.0,19.0,34.0,92.83560975609755,10.938292682926829,48.75048780487805,79.0,6.0,0.0,2.0,30.12,48.78,,,,,,,,,,,Batter,T20I,33.0476124096319,0.0,19.83,,,
AR Adams,ODI,12.0,12.0,165.0,151.0,11.0,10.0,10.0,80.7025,8.315833333333332,57.49333333333333,36.0,0.0,0.0,1.0,16.5,33.33,807.0,730.0,25.0,17.0,497.0,134.5,5.43,29.2,32.28,61.59,Allrounder,ODI+T20I,22.92921945945134,58.32149773809833,37.09,2.0,-0.8206428790071747,-1.6378816687551006
AR Adams,T20I,,,,,,,,,,,,,,,,,77.0,108.0,3.0,4.0,32.0,12.8,8.44,36.0,25.67,41.56,Bowler,ODI+T20I,0.0,42.83570205738869,17.13,,,
AR Balla,T20I,12.0,12.0,32.0,117.0,0.0,0.0,7.0,22.87,0.0,79.0975,7.0,0.0,0.0,3.0,4.57,0.0,,,,,,,,,,,Batter,T20I,3.6079467285234363,0.0,2.16,,,
AR Berenger,ODI,6.0,6.0,53.0,111.0,7.0,0.0,6.0,49.45666666666667,7.081666666666666,75.845,22.0,0.0,0.0,0.0,8.83,16.67,,,,,,,,,,,Batter,ODI,13.706262660774035,0.0,8.22,,,
AR Bisht,ODI,5.0,5.0,83.0,109.0,8.0,2.0,4.0,66.6,7.295999999999999,64.02799999999999,35.0,0.0,0.0,0.0,20.75,40.0,78.0,79.0,2.0,3.0,35.0,13.0,6.08,39.5,39.0,44.87,Allrounder,ODI+T20I,23.875686191204515,48.63800950945112,33.78,2.0,-0.42188897200143805,-0.9227809941751884
AR Bisht,T20I,6.0,6.0,132.0,137.0,6.0,3.0,6.0,95.43166666666666,5.91,35.61833333333333,34.0,0.0,0.0,0.0,22.0,50.0,,,,,,,,,,,Batter,ODI+T20I,28.415613973102175,0.0,17.05,,,
AR Caddick,ODI,10.0,10.0,64.0,117.0,3.0,1.0,3.0,91.246,8.577,44.436,14.0,0.0,0.0,0.0,21.33,0.0,582.0,389.0,17.0,11.0,423.0,97.0,4.01,22.88,34.24,72.68,Allrounder,ODI,18.902810219174558,64.68601102968096,37.22,0.0,-1.1267908633261121,-1.9715774474984924
AR Cusack,ODI,23.0,23.0,264.0,412.0,23.0,2.0,14.0,54.65347826086956,3.7252173913043474,61.15304347826087,47.0,0.0,0.0,4.0,18.86,26.09,974.0,866.0,32.0,27.0,530.0,162.3,5.34,27.06,30.44,54.41,Allrounder,ODI+T20I,17.90241418345498,57.06882308912745,33.57,0.0,-1.605216345283743,-1.264635452673069
AR Cusack,T20I,16.0,16.0,180.0,134.0,16.0,5.0,9.0,109.833125,12.130625,48.000625,65.0,1.0,0.0,2.0,20.0,18.75,474.0,578.0,28.0,26.0,196.0,79.0,7.32,20.64,16.93,41.35,Allrounder,ODI+T20I,25.511018176220215,48.775546073010716,34.82,3.0,1.1229822127246545,0.25948197910267035
AR Leo,T20I,11.0,11.0,85.0,133.0,5.0,1.0,9.0,67.72,5.296363636363636,62.57818181818182,24.0,0.0,0.0,1.0,9.44,9.09,150.0,196.0,8.0,9.0,61.0,25.0,7.84,24.5,18.75,40.67,Allrounder,T20I,13.368814871314855,45.25422177150198,26.12,1.0,-1.0359465747490382,1.1673808258436897
AR McBrine,ODI,47.0,47.0,812.0,1068.0,82.0,14.0,35.0,88.33425531914894,10.168936170212763,56.66297872340425,79.0,2.0,0.0,3.0,23.2,38.3,3372.0,2753.0,69.0,68.0,1765.0,562.0,4.9,39.9,48.87,52.34,Allrounder,ODI+T20I,27.69425562901846,59.77853078021412,40.53,2.0,-0.06272237678200887,-1.913986114422261
AR McBrine,T20I,14.0,14.0,134.0,108.0,10.0,4.0,8.0,124.38071428571428,12.46,29.692857142857143,36.0,0.0,0.0,0.0,16.75,7.14,330.0,393.0,19.0,19.0,120.0,55.0,7.15,20.68,17.37,36.36,Allrounder,ODI+T20I,23.576679937181098,46.723252647630275,32.84,3.0,1.8747239352381153,1.0208442263988478
AR Naidoo,T20I,26.0,26.0,544.0,527.0,44.0,15.0,20.0,86.035,9.108076923076924,54.01461538461539,53.0,1.0,0.0,4.0,27.2,46.15,,,,,,,,,,,Batter,T20I,29.811908081428495,0.0,17.89,,,
AR Nurse,ODI,35.0,35.0,454.0,454.0,40.0,12.0,25.0,90.86485714285716,9.29657142857143,49.69285714285714,44.0,0.0,0.0,1.0,18.16,22.86,2153.0,2009.0,44.0,45.0,953.0,358.8,5.6,45.66,48.93,44.26,Allrounder,ODI+T20I,22.722565850792936,52.90313023116869,34.79,2.0,0.1355894860962134,-0.5517830538500168
AR Nurse,T20I,8.0,8.0,85.0,71.0,7.0,3.0,2.0,126.13125,16.12375,37.52,20.0,0.0,0.0,1.0,42.5,12.5,240.0,324.0,8.0,13.0,70.0,40.0,8.1,40.5,30.0,29.17,Allrounder,ODI+T20I,34.53472579676039,39.75332717780104,36.62,3.0,3.2945059544183604,0.3911859557433712
AR Odedara,ODI,10.0,10.0,243.0,464.0,23.0,6.0,9.0,48.832,6.0200000000000005,75.583,54.0,1.0,0.0,1.0,27.0,60.0,,,,,,,,,,,Batter,ODI+T20I,27.754349121624458,0.0,16.65,,,
AR Odedara,T20I,8.0,8.0,45.0,63.0,5.0,0.0,8.0,44.35375,4.33375,70.4325,15.0,0.0,0.0,3.0,5.62,0.0,,,,,,,,,,,Batter,ODI+T20I,7.7405768593935,0.0,4.64,,,
AR Patel,IPL,132.0,132.0,2016.0,1519.0,141.0,96.0,94.0,124.04409090909093,13.8625,35.32212121212121,66.0,4.0,0.0,9.0,21.45,30.3,3537.0,4433.0,138.0,171.0,1199.0,589.5,7.52,32.12,25.63,33.9,Allrounder,IPL+ODI+T20I,30.56264226839241,55.301582985874134,40.46,3.0,2.2322461863690948,0.13476914818180266
AR Patel,ODI,49.0,49.0,858.0,935.0,53.0,31.0,38.0,85.71367346938776,7.629795918367347,48.11408163265306,64.0,3.0,0.0,3.0,22.58,38.78,3287.0,2499.0,75.0,66.0,1833.0,547.8,4.56,33.32,43.83,55.77,Allrounder,IPL+ODI+T20I,26.381659461888784,62.69500964083029,40.91,2.0,-0.21755793532641324,-2.1225851614510463
AR Patel,T20I,56.0,56.0,690.0,518.0,48.0,28.0,35.0,121.00127272727272,12.682545454545451,35.278,65.0,1.0,0.0,5.0,19.71,25.0,1594.0,2036.0,92.0,84.0,646.0,265.7,7.66,22.13,17.33,40.53,Allrounder,IPL+ODI+T20I,27.944586034537387,53.61897451097981,38.21,3.0,1.8319414519196924,0.19831874729836904
AR Patwa,T20I,49.0,49.0,1151.0,950.0,144.0,32.0,46.0,119.02734693877552,19.136326530612244,51.57448979591837,79.0,6.0,0.0,3.0,25.02,46.94,,,,,,,,,,,Batter,T20I,36.87768329114315,0.0,22.13,,,
AR Puri,T20I,14.0,14.0,41.0,77.0,1.0,1.0,8.0,48.41857142857143,1.7857142857142858,61.18642857142857,13.0,0.0,0.0,4.0,5.12,0.0,666.0,885.0,28.0,36.0,250.0,111.0,7.97,31.61,23.79,37.54,Allrounder,T20I,6.917436266479454,45.26875361203337,22.26,1.0,-1.8251347130932452,1.7530784608658119
AR Ramjani,T20I,40.0,40.0,745.0,564.0,61.0,26.0,30.0,116.628,12.02175,38.4775,78.0,5.0,0.0,2.0,24.83,30.0,1215.0,975.0,95.0,56.0,655.0,202.5,4.81,10.26,12.79,53.91,Allrounder,T20I,30.206523770046633,65.29107268043205,44.24,4.0,0.9874632343152945,-1.838212761081115
AR White,ODI,23.0,23.0,301.0,487.0,23.0,0.0,23.0,56.13652173913043,4.14304347826087,61.8104347826087,40.0,0.0,0.0,2.0,13.09,26.09,325.0,253.0,7.0,16.0,149.0,54.2,4.67,36.14,46.43,45.85,Allrounder,ODI+T20I,16.3717654702616,52.7511561026262,30.92,0.0,-1.5249330584496217,-0.7724950864956176
AR White,T20I,7.0,7.0,95.0,91.0,7.0,2.0,6.0,98.12571428571428,8.938571428571429,40.52285714285714,29.0,0.0,0.0,0.0,15.83,28.57,,,,,,,,,,,Batter,ODI+T20I,23.656453263032112,0.0,14.19,,,
ARA Chambers,T20I,13.0,13.0,216.0,231.0,25.0,1.0,12.0,91.87307692307692,10.928461538461535,47.651538461538465,36.0,0.0,0.0,0.0,18.0,38.46,,,,,,,,,,,Batter,T20I,26.555913156553256,0.0,15.93,,,
AS Hansra,ODI,14.0,14.0,295.0,527.0,20.0,6.0,12.0,46.55,2.5107142857142857,66.11571428571429,70.0,2.0,0.0,2.0,24.58,42.86,276.0,285.0,2.0,12.0,115.0,46.0,6.2,142.5,138.0,41.67,Allrounder,ODI+T20I,21.97700280428969,39.032866148865835,28.8,2.0,-0.9369405349091693,-0.9438947441410075
AS Hansra,T20I,7.0,7.0,76.0,73.0,4.0,3.0,5.0,86.15428571428572,6.757142857142857,46.97571428571428,30.0,0.0,0.0,0.0,15.2,28.57,90.0,94.0,7.0,6.0,31.0,15.0,6.27,13.43,12.86,34.44,Allrounder,ODI+T20I,21.435095887915075,47.49670749603151,31.86,1.0,0.4262231733605388,0.29391910951768835
AS Joseph,IPL,5.0,5.0,27.0,32.0,3.0,0.0,1.0,70.74199999999999,4.742,46.564,15.0,0.0,0.0,1.0,27.0,0.0,434.0,707.0,21.0,22.0,172.0,72.3,9.78,33.67,20.67,39.63,Allrounder,IPL+ODI+T20I,17.21160707040695,41.176988878478085,26.8,1.0,0.23840553776044943,1.4369612554821205
AS Joseph,ODI,44.0,44.0,461.0,599.0,35.0,21.0,28.0,76.06045454545455,8.655,61.22863636363636,49.0,0.0,0.0,6.0,16.46,15.91,3837.0,3624.0,128.0,74.0,2105.0,639.5,5.67,28.31,29.98,54.86,Allrounder,IPL+ODI+T20I,19.135349641318147,65.33692235752521,37.62,4.0,-1.2433478685653439,-1.1056216760253785
AS Joseph,T20I,19.0,19.0,129.0,125.0,9.0,5.0,8.0,95.66526315789471,8.074736842105262,45.31526315789474,21.0,0.0,0.0,2.0,16.12,5.26,972.0,1541.0,61.0,43.0,385.0,162.0,9.51,25.26,15.93,39.61,Allrounder,IPL+ODI+T20I,18.501282538808894,46.16454844327312,29.57,1.0,0.5861427884131061,1.5787519498150098
AS Luseno,ODI,,,,,,,,,,,,,,,,,60.0,58.0,4.0,2.0,43.0,10.0,5.8,14.5,15.0,71.67,Bowler,ODI,0.0,59.94150547845362,23.98,,,
AS Mehmi,T20I,9.0,9.0,70.0,80.0,8.0,1.0,8.0,74.2911111111111,10.686666666666666,64.14444444444445,29.0,0.0,0.0,1.0,8.75,11.11,134.0,172.0,5.0,9.0,50.0,22.3,7.71,34.4,26.8,37.31,Allrounder,T20I,16.382123459646273,43.39261870119425,27.19,1.0,-0.4134020295117355,1.2173102524137576
AS Rajpoot,IPL,7.0,7.0,26.0,41.0,2.0,1.0,4.0,61.33714285714286,6.485714285714286,66.21142857142857,8.0,0.0,0.0,0.0,6.5,0.0,529.0,844.0,24.0,29.0,219.0,88.2,9.57,35.17,22.04,41.4,Allrounder,IPL,10.500679937912198,42.35217017293432,23.24,1.0,-1.22132027623966,2.0132536425564855
AS Raut,IPL,16.0,16.0,194.0,167.0,13.0,7.0,9.0,92.87,7.967499999999999,44.056875,36.0,0.0,0.0,1.0,21.56,31.25,,,,,,,,,,,Batter,IPL,25.128734915732906,0.0,15.08,,,
AS Roy,IPL,12.0,12.0,65.0,52.0,5.0,2.0,7.0,72.96083333333333,6.800833333333333,57.634166666666665,29.0,0.0,0.0,5.0,9.29,8.33,299.0,435.0,14.0,19.0,101.0,49.8,8.73,31.07,21.36,33.78,Allrounder,IPL,14.278868137646436,41.16528184612157,25.03,1.0,-0.32566326925194616,1.850897465494093
AS Samra,T20I,25.0,25.0,592.0,433.0,49.0,28.0,19.0,115.7976,13.7604,45.6704,101.0,4.0,1.0,0.0,31.16,36.0,,,,,,,,,,,Batter,T20I,33.984635094363725,0.0,20.39,,,
AS Yadav,IPL,6.0,6.0,49.0,39.0,5.0,2.0,5.0,104.035,14.066666666666668,49.9,16.0,0.0,0.0,1.0,9.8,0.0,,,,,,,,,,,Batter,IPL,18.677706719610974,0.0,11.21,,,
ASF Sirah,T20I,19.0,19.0,254.0,205.0,26.0,8.0,13.0,117.66526315789471,15.204210526315787,41.59368421052631,58.0,1.0,0.0,0.0,19.54,26.32,450.0,523.0,31.0,23.0,188.0,75.0,6.97,16.87,14.52,41.78,Allrounder,T20I,28.875572880553857,50.25701070553217,37.43,3.0,1.77374726885422,-0.038031404001138934
ASH Parsons,T20I,5.0,5.0,19.0,51.0,0.0,0.0,5.0,44.144,0.0,61.572,6.0,0.0,0.0,0.0,3.8,0.0,,,,,,,,,,,Batter,T20I,5.361638137897936,0.0,3.22,,,
AT Carey,ODI,77.0,77.0,2245.0,2476.0,213.0,24.0,64.0,84.39597402597403,8.322597402597403,50.2212987012987,106.0,14.0,1.0,5.0,35.08,55.84,,,,,,,,,,,Batter,ODI+T20I,34.796184695839315,0.0,20.88,,,
AT Carey,T20I,28.0,28.0,267.0,243.0,23.0,7.0,24.0,86.63964285714285,7.640357142857143,46.32535714285715,37.0,0.0,0.0,2.0,11.12,21.43,,,,,,,,,,,Batter,ODI+T20I,19.113015559147655,0.0,11.47,,,
AT Nidamanuru,ODI,37.0,37.0,893.0,976.0,60.0,31.0,33.0,74.33216216216216,6.659189189189189,56.56594594594595,111.0,6.0,2.0,4.0,27.06,37.84,,,,,,,,,,,Batter,ODI+T20I,26.38802097267859,0.0,15.83,,,
AT Nidamanuru,T20I,19.0,19.0,244.0,225.0,10.0,13.0,18.0,104.96368421052632,11.302105263157893,54.64263157894737,36.0,0.0,0.0,5.0,13.56,26.32,,,,,,,,,,,Batter,ODI+T20I,24.094538540452945,0.0,14.46,,,
AT Rayudu,IPL,185.0,185.0,4348.0,3409.0,359.0,173.0,149.0,114.8262162162162,13.808594594594595,40.78324324324324,100.0,23.0,1.0,13.0,29.18,49.19,,,,,,,,,,,Batter,IPL+ODI+T20I,37.39206982369956,0.0,22.44,,,
AT Rayudu,ODI,49.0,49.0,1637.0,2094.0,141.0,26.0,34.0,68.43387755102042,6.578775510204082,57.63612244897959,124.0,12.0,3.0,3.0,48.15,59.18,121.0,128.0,3.0,9.0,54.0,20.2,6.34,42.67,40.33,44.63,Allrounder,IPL+ODI+T20I,37.264640133877066,47.833562466495565,41.49,2.0,1.0455083718065503,-2.4392642882388027
AT Rayudu,T20I,5.0,5.0,42.0,50.0,5.0,0.0,4.0,51.134,5.7700000000000005,72.47999999999999,20.0,0.0,0.0,2.0,10.5,20.0,,,,,,,,,,,Batter,IPL+ODI+T20I,14.52463702473473,0.0,8.71,,,
AU Rashid,IPL,,,,,,,,,,,,,,,,,60.0,91.0,2.0,3.0,20.0,10.0,9.1,45.5,30.0,33.33,Bowler,IPL+ODI+T20I,0.0,37.93328112164957,15.17,,,
AU Rashid,ODI,81.0,81.0,941.0,1011.0,92.0,14.0,48.0,88.89012345679012,9.578271604938273,49.7337037037037,69.0,1.0,0.0,10.0,19.6,17.28,7839.0,7407.0,233.0,151.0,3551.0,1306.5,5.67,31.79,33.64,45.3,Allrounder,IPL+ODI+T20I,22.073661394832467,71.81082493486701,41.97,4.0,-0.3294274521013151,-1.013339817620177
AU Rashid,T20I,40.0,40.0,163.0,182.0,13.0,1.0,23.0,85.6645,5.649,41.80375,22.0,0.0,0.0,4.0,7.09,2.5,2994.0,3794.0,161.0,136.0,1085.0,499.0,7.6,23.57,18.6,36.24,Allrounder,IPL+ODI+T20I,13.132033988366874,58.70305413113234,31.36,4.0,-0.3859049047576059,1.3019669795454387
AUK Pathan,IPL,7.0,7.0,39.0,23.0,5.0,2.0,5.0,131.66714285714286,22.857142857142858,56.90428571428571,14.0,0.0,0.0,2.0,7.8,0.0,,,,,,,,,,,Batter,IPL,24.243627225768908,0.0,14.55,,,
AUKDS Kalugala,T20I,18.0,18.0,281.0,241.0,29.0,12.0,18.0,106.0488888888889,16.016666666666666,59.46,49.0,0.0,0.0,1.0,15.61,27.78,,,,,,,,,,,Batter,T20I,27.077428809092254,0.0,16.25,,,
AV Lalcheta,ODI,,,,,,,,,,,,,,,,,84.0,62.0,2.0,2.0,54.0,14.0,4.43,31.0,42.0,64.29,Bowler,ODI+T20I,0.0,59.06193529860499,23.62,,,
AV Lalcheta,T20I,7.0,7.0,55.0,53.0,3.0,3.0,5.0,93.67428571428572,9.941428571428572,45.57285714285714,20.0,0.0,0.0,0.0,11.0,14.29,228.0,263.0,6.0,11.0,110.0,38.0,6.92,43.83,38.0,48.25,Allrounder,ODI+T20I,19.252123610927327,47.9046665661226,30.71,1.0,0.1336962459181487,0.36953615758489605
AV Lazarus,T20I,36.0,36.0,799.0,694.0,64.0,29.0,28.0,114.95722222222224,15.306388888888888,40.958333333333336,95.0,5.0,0.0,1.0,28.54,44.44,67.0,76.0,0.0,7.0,29.0,11.2,6.79,,,43.28,Batter,T20I,35.469405062544986,29.37878954759479,33.03,3.0,2.3498312147905764,-0.92611740549052
AW Hawkins-Kay,T20I,8.0,8.0,63.0,82.0,2.0,0.0,6.0,65.91499999999999,1.6175,43.16625,27.0,0.0,0.0,1.0,10.5,12.5,132.0,168.0,8.0,9.0,54.0,22.0,7.64,21.0,16.5,40.91,Allrounder,T20I,12.709831216185727,46.048093204574,26.05,1.0,-0.660554904960155,1.1195362569198788
AWJ Auguste,T20I,8.0,8.0,164.0,118.0,11.0,11.0,6.0,133.9525,19.4775,45.7375,50.0,1.0,0.0,0.0,27.33,37.5,,,,,,,,,,,Batter,T20I,36.88206249143837,0.0,22.13,,,
AY Karim,ODI,,,,,,,,,,,,,,,,,140.0,69.0,3.0,4.0,97.0,23.3,2.96,23.0,46.67,69.29,Bowler,ODI,0.0,64.58110169198247,25.83,,,
AY Patel,T20I,,,,,,,,,,,,,,,,,156.0,119.0,11.0,7.0,91.0,26.0,4.58,10.82,14.18,58.33,Bowler,T20I,0.0,59.319311119356506,23.73,,,
Aaftab Alam Khan,T20I,21.0,21.0,241.0,194.0,20.0,9.0,14.0,84.32333333333334,8.350952380952382,55.47238095238096,71.0,1.0,0.0,5.0,17.21,14.29,,,,,,,,,,,Batter,T20I,19.780049731946075,0.0,11.87,,,
Aakash Chand,ODI,,,,,,,,,,,,,,,,,78.0,82.0,2.0,2.0,30.0,13.0,6.31,41.0,39.0,38.46,Bowler,ODI+T20I,0.0,45.986918967419925,18.39,,,
Aakash Chand,T20I,,,,,,,,,,,,,,,,,60.0,85.0,7.0,3.0,26.0,10.0,8.5,12.14,8.57,43.33,Bowler,ODI+T20I,0.0,45.5682936260768,18.23,,,
Aamer Jamal,ODI,,,,,,,,,,,,,,,,,96.0,86.0,3.0,3.0,65.0,16.0,5.38,28.67,32.0,67.71,Bowler,ODI+T20I,0.0,58.36130747130068,23.34,,,
Aamer Jamal,T20I,,,,,,,,,,,,,,,,,84.0,162.0,2.0,5.0,33.0,14.0,11.57,81.0,42.0,39.29,Bowler,ODI+T20I,0.0,31.579631129806888,12.63,,,
Aamer Yamin,ODI,,,,,,,,,,,,,,,,,156.0,155.0,2.0,4.0,88.0,26.0,5.96,77.5,78.0,56.41,Bowler,ODI,0.0,49.47952728959092,19.79,,,
Aamir Kaleem,ODI,13.0,13.0,160.0,266.0,21.0,3.0,13.0,62.027692307692305,9.896153846153847,71.46000000000001,32.0,0.0,0.0,2.0,12.31,30.77,679.0,411.0,18.0,15.0,440.0,113.2,3.63,22.83,37.72,64.8,Allrounder,ODI+T20I,19.97332613326382,63.11405969198978,37.23,0.0,-2.0119906620050703,-2.289741352968882
Aamir Kaleem,T20I,44.0,44.0,693.0,605.0,70.0,18.0,38.0,90.03886363636364,10.255454545454546,53.42977272727273,72.0,3.0,0.0,7.0,18.24,27.27,659.0,855.0,46.0,40.0,236.0,109.8,7.79,18.59,14.33,35.81,Allrounder,ODI+T20I,24.17850704861327,47.842361370934924,33.64,1.0,0.744169680176959,0.48696490898699907
Aamir Lal,T20I,9.0,9.0,149.0,127.0,7.0,9.0,7.0,109.84333333333332,15.325555555555557,54.00111111111111,48.0,0.0,0.0,1.0,21.29,33.33,192.0,208.0,14.0,9.0,90.0,32.0,6.5,14.86,13.71,46.88,Allrounder,T20I,30.07321485123198,51.47242039527292,38.63,3.0,1.2037151064284533,-0.745162405440722
Aarif Sheikh,ODI,57.0,57.0,1405.0,2092.0,99.0,14.0,51.0,64.28666666666668,5.130526315789473,58.51842105263158,84.0,9.0,0.0,3.0,27.55,52.63,887.0,701.0,9.0,34.0,479.0,147.8,4.74,77.89,98.56,54.0,Allrounder,ODI+T20I,28.16354270990112,51.989189421488206,37.69,2.0,-0.5275452984090232,-2.411614618753084
Aarif Sheikh,T20I,37.0,37.0,562.0,508.0,54.0,12.0,27.0,101.13513513513512,11.64027027027027,46.53702702702702,39.0,0.0,0.0,3.0,20.81,40.54,96.0,136.0,4.0,9.0,37.0,16.0,8.5,34.0,24.0,38.54,Allrounder,ODI+T20I,29.0313098579923,42.003900010096814,34.22,3.0,1.6895884432853738,0.32335864681258897
Aaron Jones,ODI,51.0,51.0,1620.0,2253.0,114.0,32.0,47.0,62.65294117647059,5.995490196078431,62.0143137254902,123.0,12.0,1.0,2.0,34.47,54.9,197.0,196.0,0.0,10.0,96.0,32.8,5.98,,,48.73,Batter,ODI+T20I,31.260007778850294,32.86543492028527,31.9,2.0,0.04016298076516275,-2.0821943269510577
Aaron Jones,T20I,42.0,42.0,767.0,670.0,40.0,39.0,32.0,98.50285714285714,8.532619047619047,41.85738095238095,94.0,2.0,0.0,1.0,23.97,30.95,116.0,139.0,7.0,11.0,47.0,19.3,7.2,19.86,16.57,40.52,Allrounder,ODI+T20I,26.754225687493257,46.880158257711344,34.8,3.0,1.22649361110724,-0.08943095836988187
Aasif Sheikh,ODI,64.0,64.0,1719.0,2267.0,197.0,20.0,59.0,70.77921875,9.5028125,66.440625,110.0,14.0,1.0,5.0,29.14,43.75,,,,,,,,,,,Batter,ODI+T20I,29.68697649393564,0.0,17.81,,,
Aasif Sheikh,T20I,69.0,69.0,1699.0,1414.0,155.0,66.0,66.0,109.49202898550725,14.552898550724638,49.32159420289855,69.0,10.0,0.0,3.0,25.74,52.17,,,,,,,,,,,Batter,ODI+T20I,35.68654072214139,0.0,21.41,,,
Aayan Afzal Khan,ODI,34.0,34.0,595.0,818.0,55.0,13.0,28.0,55.00705882352941,5.504117647058824,66.41029411764706,94.0,3.0,0.0,6.0,21.25,35.29,1973.0,1381.0,50.0,38.0,1183.0,328.8,4.2,27.62,39.46,59.96,Allrounder,ODI+T20I,21.500949465507226,62.93624939363238,38.08,0.0,-1.7790867798265915,-2.3682144127200515
Aayan Afzal Khan,T20I,14.0,14.0,142.0,157.0,9.0,2.0,10.0,105.32642857142858,8.545,43.50642857142857,42.0,0.0,0.0,1.0,14.2,14.29,608.0,589.0,34.0,28.0,278.0,101.3,5.81,17.32,17.88,45.72,Allrounder,ODI+T20I,20.795495506554293,54.26948056045494,34.19,1.0,0.25280205160015556,-0.08156688905260268
