player,format,matches,innings_count,total_runs,total_balls,total_fours,total_sixes,dismissals,avg_sr,avg_boundary,avg_dot_pct,highest_score,fifties,hundreds,ducks,batting_avg,consistency,balls_bowled,runs_given,wickets,matches_bowled,dot_balls,overs_bowled,economy,bowling_avg,strike_rate_bowl,dot_pct_bowl,role,formats_played,bat_impact,bowl_impact,impact_score,cluster,pca_x,pca_y
A Sharafu,ODI,26.0,26.0,433.0,599.0,43.0,10.0,25.0,58.955,6.89,67.47538461538461,58.0,1.0,0.0,4.0,17.32,38.46,,,,,,,,,,,Batter,ODI+T20I,21.665405708791145,0.0,13.0,,,
A Sharafu,T20I,62.0,62.0,1711.0,1299.0,164.0,72.0,54.0,116.6151612903226,15.841774193548384,45.65467741935484,90.0,14.0,0.0,1.0,31.69,51.61,,,,,,,,,,,Batter,ODI+T20I,38.981917801524894,0.0,23.39,,,
A Sharma,ODI,26.0,26.0,676.0,858.0,79.0,13.0,26.0,61.64615384615384,8.582307692307692,69.23423076923076,105.0,5.0,1.0,4.0,26.0,46.15,,,,,,,,,,,Batter,ODI+T20I,27.231070258353494,0.0,16.34,,,
A Sharma,T20I,18.0,18.0,439.0,372.0,50.0,12.0,17.0,104.91833333333334,15.792222222222222,54.89944444444445,74.0,4.0,0.0,1.0,25.82,44.44,,,,,,,,,,,Batter,ODI+T20I,33.77965993184375,0.0,20.27,,,
A Shreshta,T20I,20.0,20.0,361.0,361.0,34.0,5.0,17.0,88.35900000000001,10.1115,54.239999999999995,76.0,1.0,0.0,1.0,21.24,35.0,,,,,,,,,,,Batter,T20I,26.309960764677346,0.0,15.79,,,
A Shukla,T20I,21.0,21.0,54.0,90.0,3.0,2.0,14.0,57.73952380952381,4.168571428571428,61.87285714285714,10.0,0.0,0.0,7.0,3.86,0.0,1003.0,1378.0,49.0,53.0,461.0,167.2,8.24,28.12,20.47,45.96,Allrounder,T20I,8.369154390949024,49.586845813117634,24.86,1.0,-1.8126582108279832,1.4167383877786928
A Simelane,T20I,8.0,8.0,56.0,57.0,4.0,2.0,7.0,110.13375,14.6425,47.1425,13.0,0.0,0.0,0.0,8.0,0.0,162.0,273.0,8.0,10.0,41.0,27.0,10.11,34.12,20.25,25.31,Allrounder,T20I,18.912725289655533,34.67750447349109,25.22,3.0,1.6301293334749687,3.0498848419604476
A Singh,IPL,5.0,5.0,2.0,10.0,0.0,0.0,4.0,20.0,0.0,80.0,1.0,0.0,0.0,3.0,0.5,0.0,473.0,639.0,28.0,23.0,200.0,78.8,8.11,22.82,16.89,42.28,Allrounder,IPL,2.039273716205407,47.17631947814541,20.09,0.0,-3.385017917462027,1.645980470435392
A Sokovagone,T20I,6.0,6.0,174.0,129.0,10.0,12.0,6.0,132.335,16.395,42.61833333333333,62.0,1.0,0.0,0.0,29.0,50.0,,,,,,,,,,,Batter,T20I,38.49810243809276,0.0,23.1,,,
A Symonds,IPL,36.0,36.0,974.0,750.0,74.0,41.0,25.0,116.87138888888887,12.446111111111112,38.89277777777778,117.0,6.0,1.0,0.0,38.96,55.56,527.0,694.0,20.0,30.0,207.0,87.8,7.9,34.7,26.35,39.28,Allrounder,IPL+ODI+T20I,40.10263105382641,44.97663831695496,42.05,3.0,2.9957790247495324,-1.0758267739073901
